date,weekday,wd_num,strategy,direction,result,pnl_pts,entry,target,stop,va_range,pm_range,vah,poc,val,ny_open_pos,pm_open_pos,trend
2026-02-19,JUEVES,3,VAH_BO_RETEST_LONG,BUY,LOSS,-31.0,24934.2,24986.3,24903.2,130.1,210.5,24929.2,24863.1,24799.1,INSIDE_VA,INSIDE_VA,MIXED
2026-02-19,JUEVES,3,VAL_BD_RETEST_SHORT,SELL,LOSS,31.0,24794.1,24742.0,24825.1,130.1,210.5,24929.2,24863.1,24799.1,INSIDE_VA,INSIDE_VA,MIXED
2026-02-19,JUEVES,3,POC_SUPPORT_LONG,BUY,WIN,52.1,24868.1,24920.1,24837.0,130.1,210.5,24929.2,24863.1,24799.1,INSIDE_VA,INSIDE_VA,MIXED
2026-02-20,VIERNES,4,VAH_BO_RETEST_LONG,BUY,WIN,81.6,24988.6,25070.1,24942.8,204.0,260.2,24983.6,24942.8,24779.6,BELOW_VA,ABOVE_VA,MIXED
2026-02-20,VIERNES,4,POC_SUPPORT_LONG,BUY,LOSS,-45.8,24947.8,25029.4,24902.0,204.0,260.2,24983.6,24942.8,24779.6,BELOW_VA,ABOVE_VA,MIXED
2026-02-27,VIERNES,4,VAH_BO_RETEST_LONG,BUY,LOSS,-47.7,25013.5,25098.9,24965.8,213.5,163.8,25008.5,24838.2,24795.0,INSIDE_VA,INSIDE_VA,MIXED
2026-03-03,MARTES,1,VAH_BO_RETEST_LONG,BUY,WIN,67.3,24594.9,24662.3,24556.3,168.3,413.5,24589.9,24479.0,24421.6,INSIDE_VA,INSIDE_VA,MIXED
2026-03-03,MARTES,1,POC_RESIST_SHORT,SELL,LOSS,38.7,24474.0,24406.7,24512.7,168.3,413.5,24589.9,24479.0,24421.6,INSIDE_VA,INSIDE_VA,MIXED
2026-03-05,JUEVES,3,VAL_BD_RETEST_SHORT,SELL,LOSS,29.7,24977.0,24927.6,25006.7,123.5,350.5,25105.5,25000.2,24982.0,INSIDE_VA,INSIDE_VA,MIXED
2026-03-05,JUEVES,3,POC_SUPPORT_LONG,BUY,LOSS,-29.7,25005.2,25054.6,24975.5,123.5,350.5,25105.5,25000.2,24982.0,INSIDE_VA,INSIDE_VA,MIXED
2026-03-06,VIERNES,4,VAL_BD_RETEST_SHORT,SELL,FLAT,-26.9,24640.6,24506.5,24712.6,335.0,325.2,24980.6,24857.2,24645.6,INSIDE_VA,INSIDE_VA,MIXED
2026-03-10,MARTES,1,VAH_BO_RETEST_LONG,BUY,WIN,70.0,25080.7,25150.7,25040.7,175.0,277.2,25075.7,24967.5,24900.7,INSIDE_VA,ABOVE_VA,MIXED
2026-03-10,MARTES,1,POC_SUPPORT_LONG,BUY,FLAT,13.8,24972.5,25042.5,24932.5,175.0,277.2,25075.7,24967.5,24900.7,INSIDE_VA,ABOVE_VA,MIXED
2026-03-11,MIÉRCOLES,2,VAL_BD_RETEST_SHORT,SELL,LOSS,22.5,24934.4,24899.5,24956.9,87.3,216.5,25026.8,24963.6,24939.4,INSIDE_VA,ABOVE_VA,MIXED
2026-03-11,MIÉRCOLES,2,POC_SUPPORT_LONG,BUY,WIN,34.9,24968.6,25003.5,24946.1,87.3,216.5,25026.8,24963.6,24939.4,INSIDE_VA,ABOVE_VA,MIXED
2026-03-13,VIERNES,4,VAL_BD_RETEST_SHORT,SELL,LOSS,39.7,24509.9,24440.6,24549.6,173.3,218.8,24688.3,24645.6,24514.9,INSIDE_VA,BELOW_VA,MIXED
2026-03-16,LUNES,0,VAH_BO_RETEST_LONG,BUY,WIN,59.7,24692.9,24752.6,24658.0,149.3,387.5,24687.9,24665.0,24538.6,INSIDE_VA,INSIDE_VA,MIXED
2026-03-16,LUNES,0,POC_SUPPORT_LONG,BUY,WIN,59.7,24670.0,24729.8,24635.2,149.3,387.5,24687.9,24665.0,24538.6,INSIDE_VA,INSIDE_VA,MIXED
