date,weekday,direction,sweep,uptrend,result,pnl_pts
2024-11-20,Miércoles,BUY,BAJO,False,LOSS,-39.7
2024-11-21,Jueves,BUY,BAJO,False,WIN,166.5
2024-11-21,Jueves,SELL,ALTO,False,LOSS,-122.1
2024-11-22,Viernes,BUY,BAJO,True,WIN,73.5
2024-11-25,Lunes,SELL,ALTO,True,LOSS,-57.3
2024-11-26,Martes,SELL,ALTO,True,LOSS,-24.7
2024-11-27,Miércoles,BUY,BAJO,True,LOSS,-24.0
2024-12-03,Martes,BUY,BAJO,True,LOSS,-11.3
2024-12-04,Miércoles,SELL,ALTO,True,LOSS,0.0
2024-12-05,Jueves,SELL,ALTO,True,LOSS,-19.5
2024-12-06,Viernes,BUY,BAJO,True,WIN,41.8
2024-12-06,Viernes,SELL,ALTO,True,LOSS,-46.5
2024-12-09,Lunes,BUY,BAJO,True,LOSS,0.0
2024-12-10,Martes,SELL,ALTO,True,LOSS,-28.8
2024-12-12,Jueves,BUY,BAJO,True,LOSS,-54.3
2024-12-13,Viernes,SELL,ALTO,True,LOSS,-27.4
2024-12-16,Lunes,SELL,ALTO,True,LOSS,0.0
2024-12-17,Martes,BUY,BAJO,False,LOSS,0.0
2024-12-17,Martes,SELL,ALTO,False,WIN,57.5
2024-12-18,Miércoles,BUY,BAJO,False,LOSS,-51.4
2024-12-18,Miércoles,SELL,ALTO,False,WIN,49.4
2024-12-19,Jueves,SELL,ALTO,False,LOSS,-19.6
2024-12-20,Viernes,BUY,BAJO,True,WIN,143.9
2024-12-23,Lunes,BUY,BAJO,True,LOSS,-55.2
2024-12-26,Jueves,BUY,BAJO,True,LOSS,-16.3
2024-12-30,Lunes,BUY,BAJO,False,FLAT,0.3
2024-12-31,Martes,SELL,ALTO,True,WIN,121.2
2025-01-02,Jueves,SELL,ALTO,True,WIN,92.0
2025-01-03,Viernes,SELL,ALTO,True,LOSS,-35.4
2025-01-06,Lunes,SELL,ALTO,False,LOSS,0.0
2025-01-07,Martes,SELL,ALTO,False,LOSS,-9.4
2025-01-08,Miércoles,BUY,BAJO,False,FLAT,96.0
2025-01-08,Miércoles,SELL,ALTO,False,WIN,136.0
2025-01-09,Jueves,SELL,ALTO,False,WIN,46.6
2025-01-10,Viernes,BUY,BAJO,True,LOSS,-157.2
2025-01-10,Viernes,SELL,ALTO,True,WIN,152.8
2025-01-13,Lunes,BUY,BAJO,False,WIN,117.9
2025-01-14,Martes,BUY,BAJO,True,LOSS,-87.8
2025-01-21,Martes,SELL,ALTO,True,LOSS,-12.2
2025-01-22,Miércoles,SELL,ALTO,True,LOSS,-7.6
2025-01-23,Jueves,BUY,BAJO,True,WIN,41.6
2025-01-24,Viernes,SELL,ALTO,True,LOSS,-37.4
2025-01-27,Lunes,BUY,BAJO,True,WIN,396.3
2025-01-28,Martes,SELL,ALTO,False,WIN,100.4
2025-01-29,Miércoles,BUY,BAJO,False,LOSS,-75.5
2025-01-30,Jueves,BUY,BAJO,False,WIN,56.4
2025-01-31,Viernes,SELL,ALTO,True,LOSS,-6.7
2025-02-03,Lunes,SELL,ALTO,True,LOSS,-21.9
2025-02-04,Martes,SELL,ALTO,True,LOSS,-30.7
2025-02-05,Miércoles,BUY,BAJO,True,WIN,67.2
2025-02-06,Jueves,BUY,BAJO,True,WIN,76.2
