Date,Close,High,Low,Open,Volume,fvg_bull,fvg_bear,range_hi,range_lo,equilibrium,is_discount,is_premium,prev_low,prev_high,liquidity_sweep_bull,liquidity_sweep_bear,vol_ma,high_vol,is_down,bullish_ob,ret_5d
2021-05-24,13641.75,13687.6103515625,13500.1201171875,13504.3896484375,3509470000,True,False,14073.48046875,12967.1796875,13520.330078125,False,True,13401.5302734375,13573.83984375,False,False,4522924500.0,False,False,False,0.000941216761046082
2021-05-25,13657.73046875,13734.41015625,13614.5400390625,13701.2998046875,4128990000,False,False,14073.48046875,12967.1796875,13520.330078125,False,True,13500.1201171875,13687.6103515625,False,True,4494801000.0,False,True,False,0.0013222965816921395
2021-05-26,13702.740234375,13726.0595703125,13661.0595703125,13687.7099609375,4264500000,False,False,14073.48046875,12967.1796875,13520.330078125,False,True,13614.5400390625,13734.41015625,False,False,4480040500.0,False,False,False,-0.012629630564028105
2021-05-27,13657.849609375,13724.759765625,13652.1298828125,13686.8603515625,5087180000,False,False,13969.2099609375,12967.1796875,13468.19482421875,False,True,13661.0595703125,13726.0595703125,False,False,4487998000.0,True,True,False,0.008267767262387204
2021-05-28,13686.509765625,13765.7998046875,13684.830078125,13717.0,4447940000,False,False,13955.0,12967.1796875,13461.08984375,False,True,13652.1298828125,13724.759765625,False,True,4470772000.0,False,True,False,0.008503255015738231
2021-06-01,13654.58984375,13773.4501953125,13602.1201171875,13764.26953125,4186280000,False,False,13814.650390625,12967.1796875,13390.9150390625,False,True,13684.830078125,13765.7998046875,False,True,4442014500.0,False,True,False,0.011444540597755681
2021-06-02,13675.7900390625,13712.6796875,13610.16015625,13655.7099609375,5097630000,False,False,13814.650390625,12967.1796875,13390.9150390625,False,True,13602.1201171875,13773.4501953125,False,False,4402909500.0,True,False,False,0.010174943475114828
2021-06-03,13529.6796875,13608.5400390625,13469.849609375,13568.91015625,5396250000,False,False,13814.650390625,12967.1796875,13390.9150390625,False,True,13610.16015625,13712.6796875,False,False,4445937500.0,True,True,False,0.03183149430159049
2021-06-04,13770.76953125,13784.76953125,13613.580078125,13619.7900390625,4360710000,True,False,13814.650390625,12967.1796875,13390.9150390625,False,True,13469.849609375,13608.5400390625,False,False,4412903000.0,False,False,False,0.01652269852611843
2021-06-07,13802.8896484375,13808.419921875,13710.1103515625,13744.150390625,4639210000,False,False,13808.419921875,12967.1796875,13387.7998046875,False,True,13613.580078125,13784.76953125,False,False,4425308500.0,True,False,False,0.023568292956093195
2021-06-08,13810.8603515625,13913.400390625,13746.419921875,13873.4599609375,5958410000,True,False,13913.400390625,12967.1796875,13440.2900390625,False,True,13710.1103515625,13808.419921875,False,False,4482295500.0,True,True,False,0.015896895566152036
2021-06-09,13814.9404296875,13900.7099609375,13811.0498046875,13865.509765625,5640490000,False,False,13913.400390625,12967.1796875,13440.2900390625,False,True,13746.419921875,13913.400390625,False,False,4527400500.0,True,True,False,0.012165766243648068
2021-06-10,13960.349609375,13962.98046875,13817.830078125,13834.259765625,4919880000,True,False,13962.98046875,12994.349609375,13478.6650390625,False,True,13811.0498046875,13900.7099609375,False,False,4535748000.0,True,False,False,0.014574130779709593
2021-06-11,13998.2998046875,13998.650390625,13934.0,13959.4697265625,4157580000,True,False,13998.650390625,12994.349609375,13496.5,False,True,13817.830078125,13962.98046875,False,False,4508721500.0,False,False,False,0.0036633215571171274
2021-06-14,14128.2001953125,14129.330078125,13963.9404296875,14002.1396484375,4415160000,True,False,14129.330078125,12994.349609375,13561.83984375,False,True,13934.0,13998.650390625,False,False,4528349000.0,False,False,False,0.0006391665826264159
2021-06-15,14030.41015625,14126.259765625,14008.9296875,14120.8095703125,4554580000,False,False,14129.330078125,12994.349609375,13561.83984375,False,True,13963.9404296875,14129.330078125,False,False,4556189000.0,False,True,False,0.017106396958615377
2021-06-16,13983.009765625,14100.1103515625,13843.599609375,14053.1201171875,4683030000,False,False,14129.330078125,12994.349609375,13561.83984375,False,True,14008.9296875,14126.259765625,False,False,4575275500.0,True,True,False,0.020827452288987525
2021-06-17,14163.8095703125,14205.4296875,13946.51953125,13946.7001953125,4558280000,False,False,14205.4296875,13293.099609375,13749.2646484375,False,True,13843.599609375,14100.1103515625,False,False,4586513500.0,False,False,False,0.014272317742022533
2021-06-18,14049.580078125,14140.6201171875,14024.599609375,14125.1201171875,6126070000,False,False,14205.4296875,13401.5302734375,13803.47998046875,False,True,13946.51953125,14205.4296875,False,False,4693279000.0,True,True,False,0.02103974693416233
2021-06-21,14137.23046875,14150.91015625,13967.8896484375,14055.0400390625,4562010000,False,False,14205.4296875,13469.849609375,13837.6396484375,False,True,14024.599609375,14140.6201171875,True,True,4734682500.0,False,False,False,0.02742757860934031
2021-06-22,14270.419921875,14288.490234375,14128.009765625,14140.2998046875,4433140000,True,False,14288.490234375,13469.849609375,13879.169921875,False,True,13967.8896484375,14150.91015625,False,False,4780866000.0,False,False,False,0.021185787088266572
