Datetime,Open,High,Low,Close
2025-11-21 02:15:00+00:00,24428.25,24442.0,24182.25,24183.75
2025-11-21 02:30:00+00:00,24427.25,24427.25,24155.0,24408.0
2025-11-21 02:45:00+00:00,24402.5,24402.5,24073.75,24075.75
2025-11-21 03:00:00+00:00,24325.75,24325.75,24095.0,24156.25
2025-11-21 03:15:00+00:00,24423.0,24423.0,24127.5,24375.0
2025-11-21 03:30:00+00:00,24156.5,24408.25,24128.5,24406.25
2025-11-21 03:45:00+00:00,24172.25,24458.75,24158.0,24458.75
2025-11-21 04:00:00+00:00,24217.0,24458.75,24193.0,24437.25
2025-11-21 04:15:00+00:00,24188.75,24420.0,24120.75,24378.0
2025-11-21 04:30:00+00:00,24146.25,24378.0,24078.0,24356.5
2025-11-21 04:45:00+00:00,24062.75,24329.25,24060.75,24329.25
2025-11-21 05:00:00+00:00,24039.5,24250.0,23933.0,24219.0
2025-11-21 05:15:00+00:00,23971.0,24200.5,23923.25,24155.5
2025-11-21 05:30:00+00:00,23949.5,24294.75,23911.75,24294.75
2025-11-21 05:45:00+00:00,24047.0,24335.0,24031.75,24335.0
2025-11-21 06:00:00+00:00,24109.0,24374.75,24082.0,24374.0
2025-11-21 06:15:00+00:00,24153.25,24400.0,24097.0,24372.5
2025-11-21 06:30:00+00:00,24094.75,24372.5,24078.75,24326.5
2025-11-21 06:45:00+00:00,24091.25,24337.0,24016.5,24284.25
2025-11-21 07:00:00+00:00,24061.25,24302.5,23996.25,24232.75
2025-11-21 07:15:00+00:00,24033.5,24268.75,23964.25,24231.5
2025-11-21 07:30:00+00:00,24139.25,24431.5,23966.5,24392.25
2025-11-21 07:45:00+00:00,24206.25,24481.0,24175.75,24440.0
2025-11-21 08:00:00+00:00,24218.25,24449.75,24167.5,24441.0
2025-11-21 08:15:00+00:00,24240.0,24535.75,24212.75,24466.25
2025-11-21 08:30:00+00:00,24228.25,24522.75,24196.0,24522.75
2025-11-21 08:45:00+00:00,24260.25,24510.0,24237.25,24474.0
2025-11-21 09:00:00+00:00,24248.75,24495.0,24213.5,24495.0
2025-11-21 09:15:00+00:00,24243.25,24495.0,24205.0,24449.75
2025-11-21 09:30:00+00:00,24279.25,24495.25,24178.0,24483.0
2025-11-21 09:45:00+00:00,24210.5,24527.75,24143.25,24449.5
2025-11-21 10:00:00+00:00,24228.5,24416.75,24099.25,24360.5
2025-11-21 10:15:00+00:00,24143.25,24420.25,24059.5,24290.0
2025-11-21 10:30:00+00:00,24084.0,24280.25,23968.25,24248.25
2025-11-21 10:45:00+00:00,24056.25,24327.75,24029.5,24266.75
2025-11-21 11:00:00+00:00,24049.5,24310.75,23946.5,24312.5
2025-11-21 11:15:00+00:00,24070.75,24388.75,24059.0,24388.75
2025-11-21 11:30:00+00:00,24202.0,24472.5,24164.5,24461.75
2025-11-21 11:45:00+00:00,24222.25,24595.25,24221.25,24595.25
2025-11-21 12:00:00+00:00,24383.75,24623.25,24324.0,24600.25
2025-11-21 12:15:00+00:00,24367.5,24623.5,24326.75,24589.75
2025-11-21 12:30:00+00:00,24372.5,24650.0,24357.75,24635.0
2025-11-21 12:45:00+00:00,24406.5,24648.0,24352.75,24589.75
2025-11-21 13:00:00+00:00,24361.25,24589.75,24252.0,24506.25
2025-11-21 13:15:00+00:00,24234.5,24512.75,24222.25,24488.75
2025-11-21 13:30:00+00:00,24297.0,24617.0,24264.75,24619.0
2025-11-21 13:45:00+00:00,24394.25,24754.0,24385.25,24729.5
2025-11-21 14:00:00+00:00,24502.25,24804.5,24477.5,24775.5
2025-11-21 14:15:00+00:00,24535.5,24835.25,24531.5,24820.0
2025-11-21 14:30:00+00:00,24594.75,24815.0,24541.5,24780.0
2025-11-21 14:45:00+00:00,24513.25,24745.0,24445.75,24693.75
2025-11-21 15:00:00+00:00,24479.5,24717.0,24451.0,24702.75
2025-11-21 15:15:00+00:00,24483.5,24731.25,24441.0,24648.75
2025-11-21 15:30:00+00:00,24390.25,24663.75,24356.25,24631.75
2025-11-21 15:45:00+00:00,24417.5,24658.5,24293.5,24530.0
2025-11-21 16:00:00+00:00,24334.75,24590.0,24312.0,24550.0
2025-11-21 16:15:00+00:00,24329.0,24571.75,24316.75,24571.75
2025-11-21 16:30:00+00:00,24323.75,24598.0,24321.5,24598.0
2025-11-21 16:45:00+00:00,24358.25,24590.0,24327.25,24586.5
2025-11-23 18:00:00+00:00,24555.25,24754.5,24455.75,24518.0
2025-11-23 18:15:00+00:00,24507.0,24728.25,24474.75,24492.5
2025-11-23 18:30:00+00:00,24487.0,24478.75,24462.25,24481.5
2025-11-23 18:45:00+00:00,24485.5,24489.25,24469.75,24467.0
2025-11-23 19:00:00+00:00,24470.25,24456.5,24431.25,24435.25
2025-11-23 19:15:00+00:00,24445.75,24668.75,24411.25,24437.5
2025-11-23 19:30:00+00:00,24436.0,24718.0,24431.25,24448.25
2025-11-23 19:45:00+00:00,24463.75,24463.25,24458.25,24453.25
2025-11-23 20:00:00+00:00,24447.25,24675.25,24417.0,24462.0
2025-11-23 20:15:00+00:00,24464.75,24719.25,24448.5,24465.25
2025-11-23 20:30:00+00:00,24479.0,24467.5,24440.0,24435.25
2025-11-23 20:45:00+00:00,24441.5,24680.0,24433.75,24450.5
2025-11-23 21:00:00+00:00,24461.25,24685.0,24445.25,24685.0
2025-11-23 21:15:00+00:00,24451.75,24483.25,24437.0,24486.25
2025-11-23 21:30:00+00:00,24487.75,24485.5,24472.0,24493.0
2025-11-23 21:45:00+00:00,24510.75,24504.5,24497.75,24505.5
2025-11-23 22:00:00+00:00,24521.0,24764.0,24516.5,24519.25
2025-11-23 22:15:00+00:00,24517.0,24760.0,24507.5,24760.0
2025-11-23 22:30:00+00:00,24515.0,24507.0,24485.25,24495.25
2025-11-23 22:45:00+00:00,24499.5,24735.0,24482.0,24739.25
2025-11-23 23:00:00+00:00,24483.5,24485.25,24470.75,24457.5
2025-11-23 23:15:00+00:00,24453.25,24694.75,24436.75,24446.0
2025-11-23 23:30:00+00:00,24459.75,24463.25,24448.25,24467.5
2025-11-23 23:45:00+00:00,24467.75,24464.0,24448.0,24453.75
2025-11-24 00:00:00+00:00,24458.25,24494.25,24452.0,24498.5
2025-11-24 00:15:00+00:00,24508.75,24751.25,24501.25,24510.25
2025-11-24 00:30:00+00:00,24505.75,24496.0,24484.0,24494.75
2025-11-24 00:45:00+00:00,24498.75,24745.0,24490.25,24498.5
2025-11-24 01:00:00+00:00,24499.5,24496.25,24483.75,24486.0
2025-11-24 01:15:00+00:00,24482.75,24485.5,24478.0,24481.25
2025-11-24 01:30:00+00:00,24485.75,24724.5,24480.25,24472.75
2025-11-24 01:45:00+00:00,24473.0,24471.75,24467.0,24474.75
2025-11-24 02:00:00+00:00,24477.75,24704.0,24454.5,24478.5
2025-11-24 02:15:00+00:00,24478.0,24477.25,24473.0,24479.25
2025-11-24 02:30:00+00:00,24482.0,24473.75,24473.75,24478.5
2025-11-24 02:45:00+00:00,24516.75,24751.25,24509.0,24512.25
2025-11-24 03:00:00+00:00,24514.0,24480.0,24468.0,24494.5
2025-11-24 03:15:00+00:00,24517.0,24763.75,24505.0,24553.75
2025-11-24 03:30:00+00:00,24548.0,24541.75,24529.5,24544.0
2025-11-24 03:45:00+00:00,24789.25,24786.25,24546.25,24559.5
2025-11-24 04:00:00+00:00,24556.25,24553.0,24538.0,24529.25
2025-11-24 04:15:00+00:00,24532.75,24709.0,24383.25,24388.0
2025-11-24 04:30:00+00:00,24394.0,24645.0,24370.5,24395.25
2025-11-24 04:45:00+00:00,24437.75,24427.5,24414.0,24427.5
2025-11-24 05:00:00+00:00,24424.0,24430.75,24413.75,24416.75
2025-11-24 05:15:00+00:00,24404.75,24649.25,24401.5,24644.0
2025-11-24 05:30:00+00:00,24399.5,24616.75,24387.75,24417.75
2025-11-24 05:45:00+00:00,24421.0,24412.5,24402.75,24421.25
2025-11-24 06:00:00+00:00,24412.25,24400.75,24379.5,24388.5
