Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-01-06 20:30:00+00:00,25829.0,25829.5,25812.25,25813.5,8600
2026-01-06 20:45:00+00:00,25834.75,25837.75,25822.5,25829.25,12435
2026-01-06 21:00:00+00:00,25820.25,25826.25,25817.0,25818.5,17287
2026-01-06 21:15:00+00:00,25822.75,25826.75,25819.5,25820.0,1245
2026-01-06 21:30:00+00:00,25826.0,25827.5,25818.5,25822.75,734
2026-01-06 21:45:00+00:00,25831.25,25833.0,25825.0,25826.0,1226
2026-01-06 23:00:00+00:00,25828.75,25844.75,25820.5,25831.25,646
2026-01-06 23:15:00+00:00,25825.25,25830.75,25820.0,25828.75,606
2026-01-06 23:30:00+00:00,25819.0,25825.25,25815.5,25825.0,786
2026-01-06 23:45:00+00:00,25824.75,25831.0,25818.25,25818.5,782
2026-01-07 00:00:00+00:00,25832.0,25842.25,25820.75,25825.25,1779
2026-01-07 00:15:00+00:00,25831.5,25838.0,25827.0,25831.75,783
2026-01-07 00:30:00+00:00,25824.5,25832.0,25819.0,25831.5,856
2026-01-07 00:45:00+00:00,25829.5,25838.75,25823.0,25823.75,962
2026-01-07 01:00:00+00:00,25831.25,25835.0,25826.75,25828.75,638
2026-01-07 01:15:00+00:00,25815.5,25831.0,25812.0,25831.0,1291
2026-01-07 01:30:00+00:00,25819.0,25829.75,25811.5,25815.75,1149
2026-01-07 01:45:00+00:00,25817.5,25822.25,25811.75,25818.75,615
2026-01-07 02:00:00+00:00,25814.75,25832.75,25810.25,25815.75,1085
2026-01-07 02:15:00+00:00,25809.25,25817.75,25808.5,25814.25,603
2026-01-07 02:30:00+00:00,25810.75,25812.5,25802.5,25808.5,758
2026-01-07 02:45:00+00:00,25806.25,25813.0,25801.75,25810.75,495
2026-01-07 03:00:00+00:00,25812.5,25815.75,25806.0,25807.25,513
2026-01-07 03:15:00+00:00,25816.5,25822.0,25812.5,25813.0,822
2026-01-07 03:30:00+00:00,25815.5,25819.0,25809.75,25817.25,416
2026-01-07 03:45:00+00:00,25799.5,25819.75,25796.75,25815.75,960
2026-01-07 04:00:00+00:00,25791.0,25804.0,25784.25,25800.0,1233
2026-01-07 04:15:00+00:00,25781.75,25792.25,25781.25,25791.25,695
2026-01-07 04:30:00+00:00,25789.25,25790.0,25780.5,25781.5,587
2026-01-07 04:45:00+00:00,25785.25,25794.75,25783.25,25789.5,557
2026-01-07 05:00:00+00:00,25787.0,25788.75,25781.25,25782.25,850
